26.07.2016	13:30:00
h	°C	1	2	3	4
4,03060	26,5	6,43066	7,43164	7,81250	7,04102
4,03338	26,5	6,38672	7,40234	7,80762	7,01660
4,03616	26,4	6,32324	7,37305	7,79297	6,98242
4,03894	26,4	6,26465	7,35840	7,78320	6,96289
4,04172	26,4	6,22070	7,34375	7,76367	6,94336
4,04449	26,4	6,17188	7,33398	7,75391	6,92383
4,04727	26,4	6,13281	7,31445	7,74902	6,89453
4,05005	26,3	6,08398	7,28516	7,73926	6,87500
4,05283	26,3	6,03516	7,27539	7,72949	6,86523
4,05561	26,3	5,98633	7,26563	7,70996	6,83594
4,05839	26,3	5,95215	7,25586	7,70508	6,82129
4,06117	26,2	5,89844	7,24121	7,69043	6,79688
4,06395	26,2	5,84961	7,22656	7,68555	6,78223
4,06673	26,2	5,79590	7,20703	7,66602	6,75781
4,06951	26,2	5,75195	7,20703	7,65625	6,74805
4,07229	26,2	5,70313	7,18750	7,65625	6,71875
4,07507	26,1	5,65430	7,16797	7,64160	6,69922
4,07785	26,1	5,59570	7,15332	7,61719	6,66992
4,08063	26,1	5,54199	7,14844	7,62207	6,65039
4,08341	26,1	5,49316	7,13379	7,61719	6,63086
4,08619	26,0	5,44434	7,12891	7,60742	6,61133
4,08897	26,0	5,40039	7,10449	7,59766	6,59668
4,09175	26,0	5,34180	7,08984	7,57813	6,57715
4,09453	26,0	5,29785	7,07031	7,57813	6,56250
4,09731	26,0	5,24414	7,06543	7,57324	6,54297
4,10009	26,0	5,20020	7,05566	7,56348	6,52832
4,10287	26,0	5,15625	7,04590	7,54883	6,51367
4,10565	25,9	5,11230	7,04102	7,54395	6,49902
4,10843	25,9	5,06348	7,03125	7,53906	6,48438
4,11121	25,9	5,01465	7,03125	7,51953	6,47949
4,11399	25,9	4,97559	7,01660	7,51953	6,45996
4,11677	25,9	4,92188	7,01172	7,50977	6,45508
4,11955	25,9	4,86816	7,01172	7,49512	6,44531
4,12233	25,8	4,83398	7,01172	7,50000	6,43555
4,12511	25,8	4,78516	7,00195	7,50000	6,42578
4,12789	25,8	4,75586	7,00195	7,49023	6,40137
4,13067	25,8	4,72168	7,00195	7,48535	6,40137
4,13345	25,8	4,68750	6,99219	7,48535	6,39648
4,13623	25,8	4,65820	6,98242	7,48047	6,38672
4,13901	25,7	4,64355	6,98242	7,48047	6,38184
4,14179	25,8	4,64844	6,98242	7,47070	6,36719
4,14457	25,8	4,67773	6,97754	7,47070	6,36719
4,14735	25,7	4,53125	6,97754	7,47559	6,36230
4,15013	25,7	4,56055	6,98242	7,47070	6,35742
4,15291	25,7	4,62891	6,97754	7,46582	6,36230
4,15569	25,7	4,64355	6,97754	7,46094	6,36719
4,15847	25,7	4,65820	6,97754	7,45605	6,34766
4,16125	25,7	4,59961	6,97266	7,44141	6,35254
4,16403	25,7	4,55566	6,98242	7,44141	6,34766
5,00002	26,8	7,24121	7,75391	8,00293	7,34375
5,00280	26,8	7,18750	7,72461	7,98828	7,32910
5,00558	26,8	7,17773	7,71973	7,98828	7,30469
5,00836	26,8	7,13379	7,71484	7,98340	7,28027
